restaurant,cuisine_type,location,price_level,rating,review_count,Latitude,Longitude
Beach Corner Seafood,"Chinese,Seafood,Asian","72D, Batu Ferringhi, Batu Ferringhi, Penang Island 11100 Malaysia",2,3.5,160,5.47124,100.246491
The Hilltop Thai Restaurant,"Chinese,Seafood,Asian","Lot 239, Permadangan Indah 6 Jalan Tun Sardon, Balik Pulau, Penang Island 11000 Malaysia",2,4,46,5.3508,100.2395864
Ayer Itam Sister Curry mee,"Chinese,Asian,Malaysian","Jalan Air Itam, Penang Island 11500 Malaysia",1,4,41,5.4044185,100.2853158
Aji Noren Japanese Restaurant,"Japanese,Asian","98-G-35, Prima Jalan Fettes, George Town, Penang Island 11200 Malaysia",2,4.5,43,5.4517533,100.3043069
PISA Corner Cafe,"Chinese,Japanese,Southwestern","Opposite of Penang International Sport Arena, Penang Island Malaysia",1,4.5,28,5.3283057,100.2808706
Roast & Bake Cafe and Dessert,Cafe,"473 Chulia Street, George Town, Penang Island 10200 Malaysia",1,4.5,22,5.4195471,100.3334761
The Bungalow,"Asian,Malaysian","Lone Pine Hotel, Batu Ferringhi, Penang Island 11100 Malaysia",2,3.5,196,5.4762606,100.2501211
Veloo Villas,"Indian,Asian,Vegetarian Friendly","Penang Lane, George Town, Penang Island Malaysia",1,4,77,5.4182485,100.3407935
"behind 50,love lane","Asian,Malaysian","Love Lane, George Town, Penang Island 10450 Malaysia",2,4.5,39,5.4196538,100.3370036
Daorae Korean BBQ Restaurant,"Barbecue,Asian,Korean","No. 104 Jalan Tanjung Tokong, Penang Island 11200 Malaysia",2,4,64,5.4532034,100.3062818
Potters Place,Cafe,"53 Lebuh Acheen 53,Lebuh Acheh, George Town, Penang Island 10200 Malaysia",2,5,15,5.414506,100.3365233
Ocean Green Seafood Restaurant,Malaysian,"Jalan Sultan Ahmad Shah, George Town, Penang Island Malaysia",2,3.5,221,5.423424,100.3291786
Saigon Bowl,"Asian,Vietnamese,Healthy","20a&B Whiteaways Arcade Lebuh Pantai, George Town, Penang Island 10300 Malaysia",1,4.5,42,5.4177063,100.3423935
Blue Vegan Restaurant,"Asian,Fusion,Healthy","15, Lebuh Tye Sin 3 minutes away from 1st Avenue Mall, 5 minutes from Hin Bus deport & 10 minutes from Penang Ferry, George Town, Penang Island 10300 Malaysia",2,4.5,18,5.4141307,100.3287506
Claypot Restaurant,"Chinese,Asian,Malaysian","48 Jalan Sungei, Tanjung Bungah, Penang Island 11200 Malaysia",2,4.5,30,5.4064445,100.3239158
Nasi Kandar Pokok Ketapang,"Indian,Asian,Malaysian","38 Lorong Hutton, George Town, Penang Island 10050 Malaysia",1,4,43,5.4198059,100.3308227
